signal_id,symbol,side,entry_price,exit_price,quantity,entry_time,exit_time,exit_reason,pnl_gross,pnl_net,pnl_pct,fees,slippage,bars_held,capital_at_entry
1,AVAXUSDT,LONG,12.46752,21.020999999999997,26.908918692011287,2025-10-20T18:35:38+00:00,2025-10-20T18:50:38+00:00,TP,-230.16489785374463,-231.60649236863057,-69.0358075383075,0.5406839170774762,0.9009105978084649,1,10000.0
2,AVAXUSDT,LONG,12.46752,21.020999999999997,26.285690664842353,2025-10-20T17:41:24+00:00,2025-10-20T17:56:24+00:00,TP,-224.83412938791568,-226.24233563790057,-69.0358075383075,0.5281613265260318,0.8800449234588507,1,9768.39350763137
3,ETHUSDT,LONG,3004.21278,2602.6,0.31762567670035247,2025-10-20T17:38:06+00:00,2025-10-20T17:53:06+00:00,SL,127.56253101900975,124.71301335007423,13.069695826671774,1.0685206220278105,1.7809970469077092,1,9542.15117199347
4,ETHUSDT,LONG,3004.21278,2602.6,0.32177694768156684,2025-10-20T17:35:02+00:00,2025-10-20T17:50:02+00:00,SL,129.2297344983086,126.34297450018737,13.069695826671776,1.08248586154224,1.8042741365789934,1,9666.864185343544
5,ETHUSDT,LONG,3004.20279,3010.21721,0.06519671170296551,2025-10-17T22:46:17+00:00,2025-10-18T22:46:17+00:00,TIMEOUT,-0.39212040680054805,-1.019513057681426,-0.5205205205205187,0.23527224408032987,0.39212040680054805,96,9793.20715984373
6,ETHUSDT,LONG,3004.20279,3010.21721,0.06518992445770314,2025-10-17T22:39:06+00:00,2025-10-18T22:39:06+00:00,TIMEOUT,-0.39207958545689714,-1.0194069221879336,-0.5205205205205188,0.2352477512741393,0.39207958545689714,96,9792.18764678605
7,ETHUSDT,LONG,3004.20279,3010.21721,0.06518313791902086,2025-10-17T21:56:20+00:00,2025-10-18T21:56:20+00:00,TIMEOUT,-0.3920387683629157,-1.0193007977435817,-0.5205205205205187,0.23522326101775043,0.3920387683629157,96,9791.168239863862
8,AVAXUSDT,LONG,12.46752,20.5205,33.005248864104466,2025-10-17T10:19:25+00:00,2025-10-17T10:34:25+00:00,TP,-265.7906089976559,-267.53238879097444,-65.01495736120731,0.6532666857804331,1.0885131075381143,1,9790.148939066119
9,BTCUSDT,LONG,89850.49956,91341.24999999999,0.010598290045027709,2026-01-20T15:22:52+00:00,2026-01-20T15:37:52+00:00,TP,-15.799405547872558,-18.8719080137404,-1.9817985859354084,1.152193629361741,1.9203088365060972,1,9522.616550275145
10,ETHUSDT,LONG,3004.20279,3063.0599999999995,0.3163483062427156,2026-01-20T15:21:48+00:00,2026-01-20T15:36:48+00:00,TP,-18.619378693671717,-21.690351285078062,-2.282295253244185,1.1516209842875715,1.919351607118773,1,9503.744642261405
