title,id,access_hash,username,megagroup
800% Profit Signals 🐬,-1001560783872,1418461095114436560,PRIVATE,False
Wallstreet Queen Official®,-1001347728413,-3920499624366458267,@wallstreetqueenofficial,False
Crypto Inner Circle®,-1001466074174,-5975008294111535560,@cryptoinnercircle,False
KRİPTO KAMPI - ASLA PARA İSTEMEZ,-1001585663048,2771907337507632958,@kriptokampi,False
Airdrop Mühendisi (Topluluk),-1001648764248,892528963331462741,@airdropmuhendisisohbet,True
Crypto Pump Club 📈,-1001625691880,-5209077335658730613,@crypto_pumps_p,False
👅🍑РЗ/ТРГ/ШУМЕН ПУТЕНЦА🍑👅,-1001481888024,5683560619098864004,@razgradskiputenca,True
BOOM BET,-1002336476128,-1682216064663590530,PRIVATE,False
Deep Web Kripto,-1001787704873,6376945875896723338,@deepwebkripto,False
Pump Leaks,-1001509614260,8816092424075997447,@pumpleaks,False
CRYPTO PUMPS,-1001519087950,-7881228362620243103,@cryptopumps,False
Big Pumps Binance™,-1001278312262,5945181599304727602,@bigpumpsbinance,False
Binance signals,-1001673124233,7532268196022173443,PRIVATE,False
BingX Futures Türkiye,-1001949487341,-7119821425924839250,@BingXFuturesTR,True
Hyperliquid Türkiye,-1001502832142,359716830795497872,@HyperLiquidTurkish,True
Savaş ÇÜM İle 24 Saat Canlı Yayın,-1002171975704,8522164155014784965,@savascanliscalp,True
Backpack Futures,-1002543271439,-4830203993433896544,@backpackfutures,True
OKX Futures Türkiye,-1001872727588,8988508052047593390,@OKXFutures,True
Bitget Futures Türkiye,-1001751103180,4566848331158071790,@BitgetFuturesTR,True
Ranger Futures Türkiye,-1001890069771,1192285561328368316,@rangerfutures,True
KRİPTO PRATİC - İLK MESAJI BEN ATMAM,-1001455943652,4993652727866079514,@KriptopraticGenelKanal,False
NFT Mühendisi,-1001888970500,8460294660796288393,@nftmuhendisi,True
Coin Mühendisi (Duyuru),-1001343169556,-946082710624644915,@Coinmuhendisiduyuru,False
Fat Pig Signals,-1001172953720,6619752877004604134,@fatpigsignals,False
Halil Güneş’linin Kripto Kanalı,-1002041487227,-7232893554022697584,@cryptoekipp,False
CM Bybit TR,-1002082415194,7603996086043467111,@futuresCMbybit,True
Binance Killers® VIP Signals,-1001322515232,-3411973702517232635,@BinanceKillersVipChannel,False
TÜRK İFŞA,-1001496103211,-8047821657727413974,PRIVATE,False
KRİPTO BUĞRA,-1002260526082,5255962393496579781,@kriptobugratelegram,False
Borsa Mühendisi,-1001713124486,2744448233630854508,@borsamuhendisim,True
Borsa Mühendisi Duyuru,-1001548639457,-4024311961170661649,@borsamuhendisiduyuru,False
Genç Trader ☃️,-1002072316114,4752516000126871368,@genctraderanaliz,False
Airdrop Mühendisi,-1001441562193,-7967090384304007386,@AirdropMuhendisim,False
Kripto=SİHİRBAZLARI spot,-1001493229952,-3638601751540245102,@spotsinyalleri,False
Crypto Whale Pumps | Crypto Signals by @andreoutberg,-1001951214339,5298438272702686136,@whalepumpgroup23,False
Telegram Tips,-1001224624669,5135755555507038810,@TelegramTips,False
OpenBullet/Sillverbullet Config Archive,-1001924594332,-4351062416061850797,@Sillverbulletconfig,False
Crypto Signals 🚀,-1001414993209,3275373958286039437,PRIVATE,False
Kucoin Binance Pumps Signals,-1001690548530,5117920863227000659,@Kucoin_Binance_Pumps,False
Kripto Donanım - İşlem Kanalı,-1002526650289,3586586222158491580,@kriptodonanim,False
Kripto Kralı,-1002263653702,803882974943403399,PRIVATE,False
BetBoss💸⚽ | VIP,-1002701014362,6732960247539076029,PRIVATE,False
BetBoss💸⚽ | Chat,-1002840964981,5626331450528814090,PRIVATE,True
BetBoss💸⚽,-1002897803119,-4691771621916104586,PRIVATE,False
Auto Mine Channel,-1002463282215,5881705949375704718,@MiningSolNews,False
50 - 100X PROJELER⚡️,-1001831767620,-6585380407336415867,PRIVATE,False
Benz Crypto💵,-1001506683081,6299043363933684094,PRIVATE,False
COSMA,-1002470783314,6617743305071727728,PRIVATE,True
DWK YEDEK GRUP,-1002704007704,-7346097613543818757,PRIVATE,False
Wolfx Crypto Promos,-1002043326601,-357237450728236856,@wolfxcryptopromos,False
KriptoKurmay,-1002268818509,2540722770866307278,@kurmay2847,False
.,-1002153024796,-653030369337527002,@kriptoroyall,False
Black Crypto Futures,-1002285711625,6099057227072716069,PRIVATE,False
Oscar Crypto,-1001865140461,-8034788928494820447,PRIVATE,False
VIP ALTCOIN signals,-1001702984881,6358488541989110204,PRIVATE,False
[OLD] MartinG [91% Accuracy],-1002185910205,9082517718427715705,PRIVATE,False
BELEŞTEPE,-1002492788591,7956228492767311275,PRIVATE,False
asdasd,-1002235213375,5112365966972655379,PRIVATE,False
𝐙𝐰𝐨𝐥𝐟𝐞 𝐉𝐫 𝐌𝐚𝐫𝐤𝐞𝐭 🥷,-1002016958898,-3061816867937838148,@zwolfejr,True
Crypto 100,-1001066638082,-4651316515713947761,PRIVATE,False
